id,warId,year,yearAU,relativeYear,label,locationLabel,latitude,longitude,stoaId,currentCountry,outcome,civil,naval,siege,sack,final,period,,Missing
235,,402,1155,434,Battle of Verona,Verona,45.438954,10.994371,383816,,W,,,,,,E,,
236,,406,1159,438,Battle of Mainz,Mainz,49.998912,8.273869,109169,,L,,,,,,E,,
237,,410,1163,442,Sack of Rome,Rome,41.891775,12.486137,423025,,L,,,,y,,E,,
238,,419,1172,451,Battle of the Nervasos Mountains,Nervasos Mountains,,,-,,W,,,,,,E,,
239,,432,1185,464,Battle of Ravenna,Ravenna,44.415718,12.196604,393480,,C,y,,,,,E,,
240,,436,1189,468,Battle of Narbonne,Narbonne,43.1836165,3.004203,246347,,W,,,,,,E,,
241,,447,1200,479,Battle of the Utus,Utus,43.5,24.5,217034,,,,,,,,E,,
242,,451,1204,483,Battle of the Catalaunian Plains,Catalaunian Plains,,,-,,,,,,,,E,,
243,,455,1208,487,Sack of Rome,Rome,41.891775,12.486137,423025,,L,,,,y,,E,,
244,,463,1216,495,Battle of Orleans,Orleans,,,-,,W,,,,,,E,,
245,,468,1221,500,Battle of Cap Bon,Cap Bon,37.0836241,11.0416578,315036,,W,,,,,,E,,
246,,486,1239,518,Battle of Soissons,Soissons,49.380839,3.3258515,108772,,L,,,,,,E,,
247,,516,1269,548,Battle of Mons Badonicus,Mons Badonicus,,,-,,W,,,,,,E,,
